,LS,BST,LLRBT,BF
7030,0.0001018844196228994,1.3664466598062613e-06,2.0011819614986077e-06,9.797233607568734e-07
7215,0.0001050421234525723,1.4185309976151367e-06,1.9524911570217496e-06,9.588221538760657e-07
7400,0.000106528824939683,1.4573230660187269e-06,1.944511564909865e-06,9.715978116002105e-07
7585,0.00010910000737517252,1.5152537118677698e-06,1.9966205475219618e-06,9.065944009349434e-07
7770,0.0001103075609036183,1.5084382996749166e-06,1.9922726114767544e-06,9.060881117683485e-07
7955,0.0001129242001953663,1.434198545437272e-06,2.00559610475299e-06,9.193888773560661e-07
8140,0.00011634569452785024,1.4620955334976316e-06,1.992292220516284e-06,9.122769211615444e-07
8325,0.00011732190978230584,1.5587825701922315e-06,1.9619486790252936e-06,8.795117113500014e-07
8510,0.00012067642125382233,1.430946814511484e-06,1.997606398392503e-06,8.827829284918144e-07
8695,0.0001213336307096184,1.4334356993300105e-06,2.0054739808082716e-06,8.711166073217852e-07
8880,0.00012268727033296515,1.4755338987916571e-06,2.027930079856802e-06,8.873253902676728e-07
9065,0.00012529659869978119,1.513050493160519e-06,2.0250550432797144e-06,8.952123681168764e-07
9250,0.00012802626765674887,1.3745262035501932e-06,1.9708809489811504e-06,8.60740942239693e-07
9435,0.0001289692762950777,1.5453956519262096e-06,2.036849768413658e-06,9.342491116220934e-07
9620,0.0001331353342211848,1.4403363510351115e-06,2.067399220840168e-06,8.622767860838853e-07
9805,0.0001331945313215512,1.3806501087313946e-06,2.12311772992749e-06,9.043729028861047e-07
9990,0.00013510189723509679,1.5104734637868514e-06,2.0845373505042915e-06,8.845109857806782e-07
10175,0.00013670653007057316,1.4516495386087293e-06,1.998614806066686e-06,9.124020676325084e-07
10360,0.00013855205585543544,1.4578101039360012e-06,2.1668888282440947e-06,8.802606249997102e-07
10545,0.00014110268427939112,1.5039845965717226e-06,2.0152187282475856e-06,8.986327784358088e-07
10730,0.00014383418677767754,1.4508855443687067e-06,1.9822004539550306e-06,8.830361104561785e-07
10915,0.00014527697487811157,1.452920350690432e-06,2.1307941509086056e-06,9.107337399479856e-07
11100,0.0001465260082697752,1.456888959691817e-06,2.209298935325799e-06,9.117273286993213e-07
11285,0.00015341002351514687,1.4592904796174496e-06,2.1324778315312134e-06,8.870822104087116e-07
11470,0.00014910355466631574,1.4013758649058434e-06,2.1583253064902003e-06,8.916624217217259e-07
11655,0.0001515098469900053,1.4156792174016528e-06,2.031108373007096e-06,8.775225259500359e-07
11840,0.00015421204933781314,1.4877693306808488e-06,2.0529886914861446e-06,8.842282247122958e-07
12025,0.00015387331043186365,1.5168602272885245e-06,2.0168487937403243e-06,9.777185447308996e-07
12210,0.000156164234936656,1.4932196076805575e-06,2.1161395071689553e-06,9.19501810898543e-07
12395,0.00015856782589086392,1.4066510169484884e-06,2.1186765815225353e-06,9.095963729340412e-07
12580,0.0001585899318788423,1.4334703836197017e-06,2.1072633728948893e-06,8.918961495109791e-07
12765,0.0001603235619958627,1.4315835368998965e-06,2.0934700690329484e-06,8.949082838200511e-07
12950,0.00016240797389550734,1.4438393254499505e-06,2.1629904796275385e-06,8.983713939973931e-07
13135,0.00016351343338151351,1.3789429581390881e-06,2.1076830554702276e-06,9.000503432449945e-07
13320,0.0001651425738316969,1.3859333564450434e-06,2.07534300189021e-06,8.911768149652886e-07
13505,0.00016736117834033053,1.5287765743928628e-06,2.075359785989132e-06,9.253609032635021e-07
