,BST,BSTRec
1979,7.104198448359966e-05,0.0001626659941393882
1980,7.808400550857186e-05,0.00016658299136906862
1981,6.437499541789293e-05,0.00014266598736867309
1982,5.3750001825392246e-05,0.00012191699352115393
1983,5.01670001540333e-05,8.141598664224148e-05
1984,6.612500874325633e-05,0.00014487499720416963
1985,8.891700417734683e-05,0.00018241599900647998
1986,5.904099089093506e-05,0.0001342089963145554
1987,5.1041977712884545e-05,0.00011058300151489675
1988,7.23340199328959e-05,0.00015370899927802384
1989,7.95419909991324e-05,0.00017466599820181727
1990,3.920900053344667e-05,7.733399979770184e-05
1991,8.924998110160232e-05,0.0001999999803956598
1992,5.7999975979328156e-05,7.062501390464604e-05
1993,8.979201084002852e-05,0.00018350000027567148
1994,4.945899127051234e-05,0.00010741699952632189
1995,8.229201193898916e-05,0.00016333299572579563
1996,6.329201278276742e-05,0.0001373330014757812
1997,7.462501525878906e-05,0.00015716598136350513
1998,6.975000724196434e-05,0.00014133300282992423
1999,4.9833994125947356e-05,7.583398837596178e-05
2000,9.258300997316837e-05,0.0001841670018620789
2001,7.254199590533972e-05,0.0002417079813312739
2002,6.458300049416721e-05,0.0001916250039357692
2003,7.083298987708986e-05,0.00017012501484714448
2004,7.791598909534514e-05,0.0001801659818738699
2005,5.2624993259087205e-05,0.00012866698671132326
2006,7.300000288523734e-05,0.00016570798470638692
2007,5.933400825597346e-05,0.00014379198546521366
2008,5.733300349675119e-05,0.00013133400352671742
2009,3.483399632386863e-05,7.270800415426493e-05
2010,5.225001950748265e-05,0.0001235000090673566
2011,5.479200626723468e-05,0.00011850000009872019
2012,6.362501881085336e-05,0.00014300001203082502
2013,4.766599158756435e-05,0.00011095800437033176
2014,6.891600787639618e-05,0.00015808301395736635
2015,5.8125006034970284e-05,0.00016566598787903786
2016,8.249998791143298e-05,0.0001746669877320528
2017,4.6083994675427675e-05,9.283298277296126e-05
2018,6.10410061199218e-05,0.0001283750170841813
2019,4.8667017836123705e-05,0.00010999999358318746
2020,5.691699334420264e-05,0.0001194580108858645
2021,6.495797424577177e-05,0.00013979198411107063
2022,7.837501470930874e-05,0.00016604099073447287
2023,5.037500523030758e-05,0.00010641699191182852
2024,7.650000043213367e-05,0.0001594159984961152
2025,6.183297955431044e-05,0.00012995899305678904
2026,6.024999311193824e-05,0.00012387498281896114
2027,5.3625000873580575e-05,0.00011616598931141198
2028,5.91249845456332e-05,0.00015429200720973313
2029,6.074999691918492e-05,0.00013783399481326342
2030,4.187499871477485e-05,8.920900290831923e-05
2031,5.5750017054378986e-05,0.0001246659958269447
2032,8.9791021309793e-05,0.00019824999617412686
2033,8.458300726488233e-05,0.0001822920166887343
2034,7.98750261310488e-05,0.00018266600091010332
2035,5.991698708385229e-05,0.00014079202082939446
2036,6.483300239779055e-05,0.00012566702207550406
2037,8.879200322553515e-05,0.00016274998779408634
2038,7.895901217125356e-05,0.00014854202163405716
2039,7.799998275004327e-05,0.0001700409920886159
2040,7.29589955881238e-05,0.00016212501213885844
2041,7.941701915115118e-05,0.00016729201888665557
2042,5.891598993912339e-05,0.00012037501437589526
2043,5.4500007536262274e-05,0.00011662501492537558
2044,7.124998955987394e-05,0.00015124998753890395
2045,8.72919918037951e-05,0.00018454098608344793
2046,7.529198774136603e-05,0.0001449999981559813
2047,5.287499516271055e-05,9.270900045521557e-05
2048,7.504198583774269e-05,0.00015858301776461303
2049,5.845900159329176e-05,0.0001167499867733568
