,BST,LLRBT,BF
96,7.791008101776242e-06,3.100000321865082e-05,2.808301360346377e-05
97,7.000024197623134e-06,3.358299727551639e-05,2.5084009394049644e-05
98,7.832975825294852e-06,3.762499545700848e-05,2.5874993298202753e-05
99,9.08400397747755e-06,3.129098331555724e-05,2.808301360346377e-05
100,5.6670105550438166e-06,3.733299672603607e-05,2.820900408551097e-05
101,6.416987162083387e-06,3.0750001315027475e-05,2.5457993615418673e-05
102,1.0000017937272787e-05,3.108300734311342e-05,2.449998282827437e-05
103,7.915979949757457e-06,3.9417005609720945e-05,2.449998282827437e-05
104,9.208015399053693e-06,3.3208023523911834e-05,2.4415989173576236e-05
105,9.99998883344233e-06,2.9624992748722434e-05,2.5582994567230344e-05
106,1.0417017620056868e-05,3.7874997360631824e-05,2.8207985451444983e-05
107,1.0042014764621854e-05,3.254198236390948e-05,2.6124995201826096e-05
108,7.916998583823442e-06,3.3958000130951405e-05,2.5125016691163182e-05
109,7.791997632011771e-06,3.2957992516458035e-05,2.529201447032392e-05
110,7.250026101246476e-06,3.950000973418355e-05,2.4874985683709383e-05
111,8.709001122042537e-06,3.225001273676753e-05,2.5125016691163182e-05
112,7.624999852851033e-06,3.108300734311342e-05,2.541701542213559e-05
113,8.333008736371994e-06,3.2917014323174953e-05,2.666597720235586e-05
114,7.624999852851033e-06,2.8167007258161902e-05,2.766601392067969e-05
115,6.874994141981006e-06,3.3249991247430444e-05,2.458301605656743e-05
116,6.582995411008596e-06,3.0957977287471294e-05,2.4500011932104826e-05
117,1.0459014447405934e-05,3.466597991064191e-05,2.5415996788069606e-05
118,9.124982170760632e-06,2.8207985451444983e-05,2.541701542213559e-05
119,8.874980267137289e-06,3.804199513979256e-05,2.8167007258161902e-05
120,8.167000487446785e-06,3.47500026691705e-05,2.820801455527544e-05
121,6.583984941244125e-06,3.875000402331352e-05,2.533398219384253e-05
122,8.000002708286047e-06,3.7707999581471086e-05,2.5166984414681792e-05
123,1.1083000572398305e-05,4.008301766589284e-05,2.4749984731897712e-05
124,6.082991603761911e-06,2.679199678823352e-05,2.4500011932104826e-05
125,7.542024832218885e-06,3.745799767784774e-05,3.429100615903735e-05
126,8.66700429469347e-06,3.4290977055206895e-05,2.5249988539144397e-05
127,8.750008419156075e-06,3.7124991649761796e-05,2.520799171179533e-05
128,9.292009053751826e-06,2.8542010113596916e-05,2.4708017008379102e-05
129,9.29197994992137e-06,3.641701187007129e-05,2.6374997105449438e-05
130,1.129199517890811e-05,3.987498348578811e-05,2.5374989490956068e-05
131,1.0957999620586634e-05,4.054198507219553e-05,2.4250010028481483e-05
132,5.582987796515226e-06,3.200001083314419e-05,2.8333975933492184e-05
133,1.0124989785254002e-05,3.845800529234111e-05,2.5832996470853686e-05
134,7.957976777106524e-06,3.6707991966977715e-05,2.4625012883916497e-05
135,1.0042014764621854e-05,3.9416016079485416e-05,2.4666980607435107e-05
136,1.2333010090515018e-05,4.187499871477485e-05,2.549999044276774e-05
137,6.166985258460045e-06,3.745799767784774e-05,2.5166984414681792e-05
138,7.708003977313638e-06,2.8290989575907588e-05,2.5165994884446263e-05
139,9.167008101940155e-06,3.8833997678011656e-05,2.6416993932798505e-05
140,5.5000127758830786e-06,3.079199814237654e-05,2.4540990125387907e-05
141,5.417008651420474e-06,3.8541998947039247e-05,2.3917004000395536e-05
142,8.041010005399585e-06,3.691599704325199e-05,2.5332992663607e-05
143,6.165995728224516e-06,3.079199814237654e-05,2.7417001547291875e-05
144,1.0750023648142815e-05,3.629201091825962e-05,2.458301605656743e-05
145,9.333016350865364e-06,3.833300434052944e-05,2.4209002731367946e-05
146,7.291004294529557e-06,3.5833014408126473e-05,2.7125002816319466e-05
147,7.208989700302482e-06,3.295802162028849e-05,2.5332992663607e-05
148,8.707982487976551e-06,3.533301060087979e-05,2.5249988539144397e-05
149,9.832991054281592e-06,2.4209002731367946e-05,2.545802271924913e-05
150,8.99998121894896e-06,3.283299156464636e-05,2.420798409730196e-05
151,1.0917021427303553e-05,3.083297633565962e-05,4.079198697581887e-05
152,1.1459022061899304e-05,4.166699363850057e-05,2.520799171179533e-05
153,5.082983989268541e-06,3.791699418798089e-05,4.208300379104912e-05
154,5.833018803969026e-06,4.108299617655575e-05,2.733300789259374e-05
155,9.25001222640276e-06,3.47500026691705e-05,2.500001573935151e-05
