,BST,LLRBT,BF,LS
67000,1.95793690733416E-06,2.71515148391098E-06,1.27645732334473E-06,0.0015770035588322400
68000,2.01426481811245E-06,2.74293024178463E-06,1.2692748149174E-06,0.0015511831237508400
69000,1.9740335911107E-06,2.7501015856074E-06,1.25791093844015E-06,0.0015386666973103300
70000,1.95463436250521E-06,2.74854223115076E-06,1.24904790322642E-06,0.0016301299507570600
71000,1.95946893941023E-06,2.74265887763878E-06,1.28961487449041E-06,0.001567184651449940
72000,1.97148745910365E-06,2.733697455785E-06,1.27701454604431E-06,0.0016915624090972300
73000,1.9582295451098E-06,2.75530988207218E-06,1.266947108602E-06,0.0016377909090332600
74000,1.97839519332712E-06,2.76529236710237E-06,1.24793480886659E-06,0.00174319827678953
75000,1.95144847734043E-06,2.78212964994655E-06,1.22835129348782E-06,0.001682637967980990
76000,1.95912731917484E-06,2.77831623794206E-06,1.2273153806359E-06,0.001721910045510520
77000,1.98098298928087E-06,2.77949672580339E-06,1.22898453579126E-06,0.0018208025834884100
78000,1.98622233051304E-06,2.75855250628797E-06,1.23507987877237E-06,0.00166105917320905
79000,2.0418478587965E-06,2.757404552251E-06,1.24756731339112E-06,0.0017848765828546300
80000,1.9817418853979E-06,2.76727561819786E-06,1.25378910608752E-06,0.0017615691071040800
81000,1.99328243314187E-06,2.77373802522152E-06,1.28504346961767E-06,0.00179013231799376
82000,1.97675029860547E-06,2.768370530523E-06,1.27678294580234E-06,0.0017696364171223100
83000,1.9869006033712E-06,2.80213139506219E-06,1.23226264945357E-06,0.001800346778173840
84000,1.98882580322577E-06,2.81728591063365E-06,1.27088242494089E-06,0.00184228165463412
85000,2.00199497545658E-06,2.8090636018576E-06,1.27479551175006E-06,0.0018921927566247000
86000,2.02205530905958E-06,2.7685115564344E-06,1.24535952548967E-06,0.0018779008300924800
87000,2.0224396968716E-06,2.75607462451412E-06,1.2743729538823E-06,0.0018671316696184600
88000,2.02372155971043E-06,2.75904985540262E-06,1.26572453609577E-06,0.0022533786012775100
89000,2.03593158143256E-06,2.77413090265181E-06,1.27450720363885E-06,0.0022589519990174500
90000,2.03438086432418E-06,2.77943041292888E-06,1.23035776068356E-06,0.0020843487497821800
91000,2.02587623842475E-06,2.76992936869144E-06,1.22761060854254E-06,0.0018491183941166000
92000,2.00794728922582E-06,2.77898878153471E-06,1.28324230774796E-06,0.0018208106393485800
93000,2.04545407514449E-06,2.78280560206368E-06,1.27295282957424E-06,0.0022762557993874700
94000,2.0324133891559E-06,2.7977337191246E-06,1.2450853350493E-06,0.002390683015670690
95000,2.00341770778682E-06,2.80652318224723E-06,1.29459459432185E-06,0.002123598082502660
96000,2.00808964930773E-06,2.79675077999805E-06,1.24168117294521E-06,0.002077800665395720
97000,2.0040807010701E-06,2.80635155322488E-06,1.23151536522049E-06,0.0021349827787564400
98000,2.00480287171599E-06,2.79981502868488E-06,1.23495054346609E-06,0.0021805963297684300
99000,2.0372969628336E-06,2.79065375575765E-06,1.27332263965661E-06,0.002161144213318410
,,,,0.0022485178333110100
